member,exp_name,exp_num,block_size,n_layer,n_head,n_embd,batch_size,max_iters,dropout,num_parameters,final_train_loss,final_val_loss,duration,val_train_gap
member2,exp_020_bs64_nl6_nh8_ne128_bsz8_mi50_dr0.2,20,64,6,8,128,8,50,0.2,1.19,2.8143,2.805,14.43,-0.009299999999999642
member2,exp_021_bs64_nl6_nh8_ne128_bsz16_mi25_dr0.1,21,64,6,8,128,16,25,0.1,1.19,2.9697,2.9815,14.12,0.011800000000000033
member2,exp_022_bs64_nl6_nh8_ne128_bsz16_mi25_dr0.2,22,64,6,8,128,16,25,0.2,1.19,2.9942,3.0039,14.05,0.009699999999999598
member2,exp_023_bs64_nl6_nh8_ne128_bsz16_mi50_dr0.1,23,64,6,8,128,16,50,0.1,1.19,2.7201,2.7246,23.91,0.0045000000000001705
member2,exp_024_bs64_nl6_nh8_ne128_bsz16_mi50_dr0.2,24,64,6,8,128,16,50,0.2,1.19,2.7442,2.7485,24.48,0.0042999999999997485
member2,exp_025_bs64_nl6_nh8_ne256_bsz8_mi25_dr0.1,25,64,6,8,256,8,25,0.1,4.74,2.792,2.8062,18.54,0.014200000000000212
member2,exp_026_bs64_nl6_nh8_ne256_bsz8_mi25_dr0.2,26,64,6,8,256,8,25,0.2,4.74,2.7944,2.812,18.4,0.017599999999999838
member2,exp_027_bs64_nl6_nh8_ne256_bsz8_mi50_dr0.1,27,64,6,8,256,8,50,0.1,4.74,2.6359,2.6284,33.56,-0.00749999999999984
member2,exp_028_bs64_nl6_nh8_ne256_bsz8_mi50_dr0.2,28,64,6,8,256,8,50,0.2,4.74,2.6435,2.639,34.06,-0.0045000000000001705
member2,exp_029_bs64_nl6_nh8_ne256_bsz16_mi25_dr0.1,29,64,6,8,256,16,25,0.1,4.74,2.7557,2.7394,32.31,-0.016300000000000203
member2,exp_030_bs64_nl6_nh8_ne256_bsz16_mi25_dr0.2,30,64,6,8,256,16,25,0.2,4.74,2.8216,2.807,32.24,-0.014600000000000168
member2,exp_031_bs64_nl6_nh8_ne256_bsz16_mi50_dr0.1,31,64,6,8,256,16,50,0.1,4.74,2.5481,2.5762,60.64,0.028100000000000236
member2,exp_032_bs64_nl6_nh8_ne256_bsz16_mi50_dr0.2,32,64,6,8,256,16,50,0.2,4.74,2.5683,2.5924,61.11,0.024100000000000232
member3,exp_001_bs128_nl4_nh4_ne128_bsz8_mi25_dr0.1,1,128,4,4,128,8,25,0.1,0.8,2.9733,3.0126,10.33,0.03929999999999989
member3,exp_002_bs128_nl4_nh4_ne128_bsz8_mi25_dr0.2,2,128,4,4,128,8,25,0.2,0.8,3.0349,3.074,10.24,0.03909999999999991
member3,exp_003_bs128_nl4_nh4_ne128_bsz8_mi50_dr0.1,3,128,4,4,128,8,50,0.1,0.8,2.7405,2.7207,17.06,-0.01980000000000004
member3,exp_004_bs128_nl4_nh4_ne128_bsz8_mi50_dr0.2,4,128,4,4,128,8,50,0.2,0.8,2.776,2.7565,17.33,-0.01949999999999985
member3,exp_005_bs128_nl4_nh4_ne128_bsz16_mi25_dr0.1,5,128,4,4,128,16,25,0.1,0.8,3.0007,3.0115,17.07,0.010799999999999699
member3,exp_006_bs128_nl4_nh4_ne128_bsz16_mi25_dr0.2,6,128,4,4,128,16,25,0.2,0.8,3.0074,3.0171,17.06,0.009700000000000042
member3,exp_007_bs128_nl4_nh4_ne128_bsz16_mi50_dr0.1,7,128,4,4,128,16,50,0.1,0.8,2.7173,2.7141,30.08,-0.0031999999999996476
member3,exp_008_bs128_nl4_nh4_ne128_bsz16_mi50_dr0.2,8,128,4,4,128,16,50,0.2,0.8,2.729,2.7262,30.62,-0.0028000000000001357
member3,exp_009_bs128_nl4_nh4_ne256_bsz8_mi25_dr0.1,9,128,4,4,256,8,25,0.1,3.16,2.708,2.7074,22.73,-0.000600000000000378
member3,exp_010_bs128_nl4_nh4_ne256_bsz8_mi25_dr0.2,10,128,4,4,256,8,25,0.2,3.16,2.7391,2.7339,23.15,-0.005199999999999871
member3,exp_011_bs128_nl4_nh4_ne256_bsz8_mi50_dr0.1,11,128,4,4,256,8,50,0.1,3.16,2.5938,2.5901,42.3,-0.0036999999999998145
member3,exp_012_bs128_nl4_nh4_ne256_bsz8_mi50_dr0.2,12,128,4,4,256,8,50,0.2,3.16,2.6095,2.6016,42.85,-0.00790000000000024
member3,exp_013_bs128_nl4_nh4_ne256_bsz16_mi25_dr0.1,13,128,4,4,256,16,25,0.1,3.16,2.6717,2.6672,41.82,-0.0045000000000001705
member3,exp_014_bs128_nl4_nh4_ne256_bsz16_mi25_dr0.2,14,128,4,4,256,16,25,0.2,3.16,2.6927,2.6898,42.26,-0.0028999999999999027
member3,exp_015_bs128_nl4_nh4_ne256_bsz16_mi50_dr0.1,15,128,4,4,256,16,50,0.1,3.16,2.5491,2.5456,80.13,-0.0035000000000002807
member3,exp_016_bs128_nl4_nh4_ne256_bsz16_mi50_dr0.2,16,128,4,4,256,16,50,0.2,3.16,2.5639,2.5589,80.5,-0.004999999999999893
member3,exp_017_bs128_nl4_nh8_ne128_bsz8_mi25_dr0.1,17,128,4,8,128,8,25,0.1,0.8,3.0206,3.0518,11.31,0.031200000000000117
